ticker,name,market,cap,cap_label,cur,rs_2w,rs_6w,accel,ret_2w,vr,pct52,high52_date,above200,theme,pop_rank
089010,켐트로닉스,KOSDAQ,675832088100.0,MidCap,23350.0,21.17,-6.58,27.75,19.74,0.53,-48.9,26.05.06,False,무선충전기술,
011070,LG이노텍,KOSPI,14010927344000.0,MegaCap,615000.0,21.07,-33.99,55.06,19.65,0.89,-59.8,26.06.01,False,무선충전기술,16.0
103590,일진전기,KOSPI,5703172644000.0,LargeCap,72400.0,40.66,-14.96,55.62,39.23,1.34,-49.8,26.05.04,False,전선,
001440,대한전선,KOSPI,9546101760000.0,LargeCap,30100.0,31.17,-15.32,46.49,29.74,0.9,-58.4,26.05.08,False,전선,
060370,LS마린솔루션,KOSDAQ,1974628681200.0,LargeCap,34100.0,30.84,14.67,16.17,29.41,0.83,-31.9,26.05.06,False,전선,
000500,가온전선,KOSPI,3589855955000.0,LargeCap,167000.0,25.87,-39.24,65.11,24.44,0.68,-70.4,26.05.12,False,전선,
006260,LS,KOSPI,13057200000000.0,MegaCap,326000.0,23.52,-10.1,33.62,22.1,0.96,-41.0,26.05.26,False,전선,
001820,삼화콘덴서,KOSPI,738045000000.0,MidCap,103300.0,45.7,-36.39,82.09,44.27,1.36,-45.7,26.06.18,False,스마트그리드(지능형전력망),
103590,일진전기,KOSPI,5703172644000.0,LargeCap,72400.0,40.66,-14.96,55.62,39.23,1.34,-49.8,26.05.04,False,스마트그리드(지능형전력망),
082920,비츠로셀,KOSDAQ,2489137287300.0,LargeCap,33000.0,21.42,-10.91,32.33,20.0,1.17,-48.5,26.05.11,False,스마트그리드(지능형전력망),
015860,일진홀딩스,KOSPI,510746449050.0,MidCap,6720.0,19.32,5.33,13.99,17.89,1.25,-53.2,26.05.13,False,스마트그리드(지능형전력망),
010120,LS ELECTRIC,KOSPI,40950000000000.0,MegaCap,214000.0,17.23,2.31,14.92,15.8,0.68,-75.8,26.03.20,False,스마트그리드(지능형전력망),23.0
