ticker,name,market,sector,cur,rs,trend_ok,pattern_ok,signal,score,lgbm_score,reason,pivot,cup_depth,handle_depth,vol_ratio,cup_days,handle_days,pct_from_pivot,safety,watching
319400,현대무벡스,KOSDAQ,nan,32150.0,86.9,False,False,False,0,,트렌드 미통과,,,,,,,,,
064760,티씨케이,KOSDAQ GLOBAL,nan,258500.0,-81.6,False,False,False,0,,트렌드 미통과,,,,,,,,,
439260,대한조선,KOSPI,nan,60600.0,-42.2,False,False,False,0,,트렌드 미통과,,,,,,,,,
302440,SK바이오사이언스,KOSPI,nan,38650.0,-177.6,False,False,False,0,,트렌드 미통과,,,,,,,,,
237690,에스티팜,KOSDAQ GLOBAL,nan,121800.0,-156.0,False,False,False,0,,트렌드 미통과,,,,,,,,,
347850,디앤디파마텍,KOSDAQ,nan,111200.0,-140.5,False,False,False,0,,트렌드 미통과,,,,,,,,,
178320,서진시스템,KOSDAQ,nan,67500.0,-22.9,True,False,False,32,,패턴 미감지,,,,,,,,,
031210,서울보증보험,KOSPI,nan,44550.0,-168.7,False,False,False,0,,트렌드 미통과,,,,,,,,,
014680,한솔케미칼,KOSPI,nan,280500.0,-124.3,False,False,False,0,,트렌드 미통과,,,,,,,,,
214450,파마리서치,KOSDAQ GLOBAL,nan,294000.0,-189.5,False,False,False,0,,트렌드 미통과,,,,,,,,,
222800,심텍,KOSDAQ GLOBAL,nan,124300.0,82.8,True,False,False,64,,패턴 미감지,,,,,,,,,
001720,신영증권,KOSPI,nan,179600.0,-147.0,False,False,False,0,,트렌드 미통과,,,,,,,,,
012750,에스원,KOSPI,nan,70500.0,-172.8,False,False,False,0,,트렌드 미통과,,,,,,,,,
145020,휴젤,KOSDAQ GLOBAL,nan,242000.0,-175.5,False,False,False,0,,트렌드 미통과,,,,,,,,,
084370,유진테크,KOSDAQ,nan,167600.0,1.9,True,False,False,32,,패턴 미감지,,,,,,,,,
004990,롯데지주,KOSPI,nan,25500.0,-175.9,False,False,False,0,,트렌드 미통과,,,,,,,,,
043260,성호전자,KOSDAQ,nan,38150.0,1266.3,False,False,False,0,,트렌드 미통과,,,,,,,,,
083650,비에이치아이,KOSDAQ,nan,61200.0,-159.0,False,False,False,0,,트렌드 미통과,,,,,,,,,
005850,에스엘,KOSPI,nan,66400.0,-108.8,True,False,False,32,,패턴 미감지,,,,,,,,,
112610,씨에스윈드,KOSPI,nan,42450.0,-179.7,False,False,False,0,,트렌드 미통과,,,,,,,,,
139130,iM금융지주,KOSPI,nan,16960.0,-142.8,False,False,False,0,,트렌드 미통과,,,,,,,,,
100790,미래에셋벤처투자,KOSDAQ,nan,23700.0,-26.0,False,False,False,0,,트렌드 미통과,,,,,,,,,
120110,코오롱인더,KOSPI,nan,63600.0,-126.1,False,False,False,0,,트렌드 미통과,,,,,,,,,
005290,동진쎄미켐,KOSDAQ,nan,60300.0,-98.7,True,False,False,32,,패턴 미감지,,,,,,,,,
139480,이마트,KOSPI,nan,86400.0,-159.7,False,False,False,0,,트렌드 미통과,,,,,,,,,
028670,팬오션,KOSPI,nan,5180.0,-141.1,False,False,False,0,,트렌드 미통과,,,,,,,,,
483650,달바글로벌,KOSPI,nan,214000.0,-121.0,True,False,False,32,,패턴 미감지,,,,,,,,,
140410,메지온,KOSDAQ,nan,61600.0,-166.2,False,False,False,0,,트렌드 미통과,,,,,,,,,
058610,에스피지,KOSDAQ,nan,87600.0,-78.0,False,False,False,0,,트렌드 미통과,,,,,,,,,
098460,고영,KOSDAQ,nan,33050.0,-106.0,False,False,False,0,,트렌드 미통과,,,,,,,,,
009970,영원무역홀딩스,KOSPI,nan,181000.0,-155.5,False,False,False,0,,트렌드 미통과,,,,,,,,,
103140,풍산,KOSPI,nan,71000.0,-188.9,False,False,False,0,,트렌드 미통과,,,,,,,,,
051600,한전KPS,KOSPI,nan,49700.0,-168.6,False,False,False,0,,트렌드 미통과,,,,,,,,,
