date,ticker,name,label,r5,r10,lgbm_score,fold,score_bin
2016-09-22,52600,Hannet Co. Ltd,0,3.33,0.57,0.1223,1,~0.2
2016-09-22,005880,Korea Line Corp.,0,4.84,2.91,0.11,1,~0.2
2016-09-22,095190,ENERGY&MACHINERY KOREA Co.Ltd,0,3.95,-0.38,0.0897,1,~0.2
2016-09-23,31310,Eyesvision Corp,0,-3.74,-12.97,0.0881,1,~0.2
2016-09-26,014710,Sajo Seafood,0,-3.16,-9.85,0.27,1,0.2~0.3
2016-09-27,178920,PI Advanced Materials Co. Ltd,0,-1.15,-4.96,0.2815,1,0.2~0.3
2016-09-27,003490,Korean Air Lines Co. Ltd.,0,-5.04,-4.76,0.1096,1,~0.2
2016-09-27,014710,Sajo Seafood,0,-4.56,-8.73,0.2685,1,0.2~0.3
2016-09-29,83650,BHI Co. Ltd,0,-0.28,2.77,0.0874,1,~0.2
2016-09-29,53270,Guyoung Technology Co. Ltd,0,-10.31,-11.67,0.0793,1,~0.2
2016-10-04,086790,Hana Financial Group Inc.,1,6.24,10.57,0.1574,1,~0.2
2016-10-05,65690,PAKERS.Co.Ltd,0,-4.54,-7.5,0.0423,1,~0.2
2016-10-05,089150,Korea Computer Terminal Inc,0,16.59,3.62,0.0813,1,~0.2
2016-10-06,012690,Monalisa,1,25.78,20.43,0.2026,1,0.2~0.3
2016-10-06,65690,PAKERS.Co.Ltd,0,-4.44,-8.28,0.1671,1,~0.2
2016-10-06,007770,Hanil Chemical Ind. Co. Ltd,0,-3.59,-4.9,0.1209,1,~0.2
2016-10-07,65690,PAKERS.Co.Ltd,0,-6.37,-9.56,0.1928,1,~0.2
2016-10-10,83650,BHI Co. Ltd,0,2.91,-4.57,0.1331,1,~0.2
2016-10-11,83650,BHI Co. Ltd,0,3.32,-7.62,0.1541,1,~0.2
2016-10-12,83650,BHI Co. Ltd,0,3.46,-9.97,0.1459,1,~0.2
2016-10-13,83650,BHI Co. Ltd,0,0.68,-8.51,0.0914,1,~0.2
2016-10-14,83650,BHI Co. Ltd,0,-3.1,-5.8,0.3396,1,0.3~0.4
2016-10-17,83650,BHI Co. Ltd,0,-7.27,-8.08,0.2393,1,0.2~0.3
2016-10-18,001450,Hyundai Marine & Fire Insurance Co. Ltd.,0,0.41,-0.55,0.1377,1,~0.2
2016-10-19,39440,STI Co. Ltd,1,8.7,10.63,0.0581,1,~0.2
2016-10-19,001450,Hyundai Marine & Fire Insurance Co. Ltd.,0,-3.69,-2.05,0.0521,1,~0.2
2016-10-20,39440,STI Co. Ltd,0,15.71,7.14,0.3827,1,0.3~0.4
2016-10-20,001450,Hyundai Marine & Fire Insurance Co. Ltd.,0,-0.82,0.41,0.0896,1,~0.2
2016-10-21,001450,Hyundai Marine & Fire Insurance Co. Ltd.,0,-1.62,-2.44,0.0634,1,~0.2
2016-10-21,222800,SIMMTECH Co. Ltd,1,3.44,8.93,0.0612,1,~0.2
2016-10-24,001450,Hyundai Marine & Fire Insurance Co. Ltd.,0,-3.81,2.45,0.15,1,~0.2
2016-10-24,222800,SIMMTECH Co. Ltd,1,0.0,17.48,0.061,1,~0.2
2016-10-25,222800,SIMMTECH Co. Ltd,1,1.82,19.89,0.085,1,~0.2
2016-10-25,001450,Hyundai Marine & Fire Insurance Co. Ltd.,0,-0.96,-1.64,0.0462,1,~0.2
2016-10-27,001450,Hyundai Marine & Fire Insurance Co. Ltd.,0,1.24,1.52,0.0684,1,~0.2
2016-10-28,001450,Hyundai Marine & Fire Insurance Co. Ltd.,0,-0.83,3.16,0.0811,1,~0.2
2016-11-03,016090,Dae Hyun,0,-2.46,4.02,0.1048,1,~0.2
2016-11-04,016090,Dae Hyun,0,-0.89,-1.4,0.0841,1,~0.2
2016-11-07,69260,Huchems,0,-3.79,-4.63,0.0704,1,~0.2
2016-11-07,016090,Dae Hyun,0,1.42,-1.67,0.0896,1,~0.2
2016-11-07,005490,POSCO,0,3.28,3.69,0.102,1,~0.2
2016-11-08,005490,POSCO,0,4.74,6.6,0.1246,1,~0.2
2016-11-10,005490,POSCO,0,2.43,7.09,0.0424,1,~0.2
2016-11-11,011370,SEOHAN Const. & Eng.co.Ltd,0,-0.22,-0.89,0.1268,1,~0.2
2016-11-14,016090,Dae Hyun,0,-3.05,-6.09,0.1416,1,~0.2
2016-11-15,016090,Dae Hyun,0,-1.39,-5.56,0.0813,1,~0.2
2016-11-16,69260,Huchems,0,-5.92,-1.48,0.0763,1,~0.2
2016-11-17,69260,Huchems,0,-6.53,-0.84,0.1978,1,~0.2
2016-11-18,69260,Huchems,0,-4.66,-2.12,0.0992,1,~0.2
2016-11-25,093640,Tamul Multimedia Co. Ltd,0,-12.22,-17.13,0.1339,1,~0.2
2016-11-25,171010,Ram Technology Co. Ltd,1,3.35,9.54,0.3759,1,0.3~0.4
2016-11-28,093640,Tamul Multimedia Co. Ltd,0,-19.78,-17.98,0.1558,1,~0.2
2016-11-28,007700,F&F Co. Ltd.,0,0.88,-0.29,0.0891,1,~0.2
2016-11-29,093640,Tamul Multimedia Co. Ltd,0,-17.84,-17.84,0.0862,1,~0.2
2016-11-30,171010,Ram Technology Co. Ltd,0,5.39,7.47,0.1419,1,~0.2
2016-12-05,208140,JUNGDAWN Co. Ltd,0,1.69,-16.62,0.1383,1,~0.2
2016-12-06,005490,POSCO,0,3.68,0.19,0.0741,1,~0.2
2016-12-06,208140,JUNGDAWN Co. Ltd,0,-6.43,-20.82,0.1489,1,~0.2
2016-12-07,005490,POSCO,0,3.04,0.38,0.0335,1,~0.2
2016-12-07,208140,JUNGDAWN Co. Ltd,0,-13.74,1.78,0.135,1,~0.2
2016-12-13,36710,Simmtech Holdings Co. Ltd,0,1.27,3.48,0.2466,1,0.2~0.3
2016-12-15,36710,Simmtech Holdings Co. Ltd,0,1.25,0.78,0.1533,1,~0.2
2016-12-16,36710,Simmtech Holdings Co. Ltd,0,2.5,0.31,0.1602,1,~0.2
2016-12-28,000250,Sam Chun Dang Pharm. Co. Ltd,0,4.55,1.24,0.1042,1,~0.2
2016-12-28,016090,Dae Hyun,0,0.37,-3.31,0.1136,1,~0.2
2016-12-29,32080,AztechWB Co. Ltd,0,-3.42,-3.9,0.0946,1,~0.2
2016-12-29,016090,Dae Hyun,0,3.6,-2.76,0.079,1,~0.2
2017-01-02,000250,Sam Chun Dang Pharm. Co. Ltd,0,5.06,1.27,0.0549,1,~0.2
2017-01-02,016090,Dae Hyun,0,3.63,-3.75,0.1119,1,~0.2
2017-01-02,115610,IMAGIS Co. Ltd,0,-1.13,-11.92,0.3758,1,0.3~0.4
2017-01-03,016090,Dae Hyun,0,-0.72,-8.09,0.1186,1,~0.2
2017-01-04,171120,Lion Chemtech Co. Ltd,0,-1.21,-4.83,0.1142,1,~0.2
2017-01-04,000250,Sam Chun Dang Pharm. Co. Ltd,0,2.92,1.67,0.0799,1,~0.2
2017-01-05,171120,Lion Chemtech Co. Ltd,0,-4.1,-6.51,0.0519,1,~0.2
2017-01-05,115610,IMAGIS Co. Ltd,0,-10.21,-12.18,0.3476,1,0.3~0.4
2017-01-05,013570,DY Corp.,0,1.73,0.53,0.2244,1,0.2~0.3
2017-01-06,013570,DY Corp.,0,1.86,-0.66,0.1556,1,~0.2
2017-01-06,171120,Lion Chemtech Co. Ltd,0,-3.1,-8.1,0.0757,1,~0.2
2017-01-09,171120,Lion Chemtech Co. Ltd,0,-3.4,-6.8,0.0444,1,~0.2
2017-01-11,47050,Posco International Corp,0,-0.18,-4.93,0.0871,1,~0.2
2017-01-12,47050,Posco International Corp,0,-4.93,-5.81,0.0628,1,~0.2
2017-01-12,011790,SKC Co. Ltd.,0,-4.7,-5.15,0.0809,1,~0.2
2017-01-16,013570,DY Corp.,0,-4.2,-6.23,0.0615,1,~0.2
