date,ticker,name,market,sector,cap,entry,pivot,cup_depth,handle_depth,cup_days,handle_days,cup_start,cup_end,vol_ratio,vs,rs,score,r1,r3,r5,r10,r15,r20,r30,r40,r50,r60
2025-03-06,340570,T&L Co. Ltd,KOSDAQ,기타,SmallCap,82000.0,83700.0,24.1,11.0,110,19,2024-08-20,2025-02-07,1.11,False,37.2,76,-1.34,-5.37,-9.51,-2.56,-4.15,-11.34,-11.46,-11.59,-18.9,-23.29
2018-04-27,103590,Iljin Electric Co. Ltd.,KOSDAQ,기타,SmallCap,5519.9973,5660.0,18.7,5.1,146,6,2017-09-12,2018-04-20,1.09,False,-6.4,43,11.41,11.23,7.07,24.09,3.62,4.17,-7.07,-14.4,-14.76,-15.94
2024-10-07,103590,Iljin Electric Co. Ltd.,KOSDAQ,기타,SmallCap,22300.0,22750.0,16.9,5.5,122,6,2024-03-27,2024-09-26,0.48,False,38.3,75,-1.12,-4.48,0.45,11.66,7.62,23.32,7.17,-1.79,23.77,29.82
2025-07-15,103590,Iljin Electric Co. Ltd.,KOSDAQ,기타,SmallCap,41050.0,41200.0,44.7,12.1,101,12,2025-01-24,2025-06-30,0.89,False,64.2,66,-2.31,-2.92,-6.33,6.7,3.29,-2.31,-9.74,-4.99,-13.15,0.49
2025-07-16,103590,Iljin Electric Co. Ltd.,KOSDAQ,기타,SmallCap,40100.0,41200.0,44.7,12.1,101,13,2025-01-24,2025-06-30,0.97,False,58.6,66,-1.25,-0.5,-2.49,5.86,6.61,-1.12,-8.6,-3.24,-12.84,6.23
2025-07-24,103590,Iljin Electric Co. Ltd.,KOSDAQ,기타,SmallCap,40250.0,41200.0,44.7,12.1,101,19,2025-01-24,2025-06-30,0.75,False,54.1,66,-1.86,8.82,5.71,3.85,-2.11,-5.47,-9.94,-10.19,-2.86,26.46
2007-05-07,005810,Poongsan Holdings Corp.,KOSDAQ,기타,SmallCap,5995.3823,6176.0,25.3,10.2,99,9,2006-11-29,2007-04-24,0.79,False,0.0,44,-1.5,0.38,4.14,-4.51,11.09,12.41,13.53,15.04,14.85,6.95
2007-05-10,005810,Poongsan Holdings Corp.,KOSDAQ,기타,SmallCap,6017.9214,6176.0,25.3,10.2,99,12,2006-11-29,2007-04-24,1.47,True,0.0,44,3.37,-3.93,-3.0,8.61,10.86,13.11,7.49,12.73,18.35,8.24
2010-05-13,005810,Poongsan Holdings Corp.,KOSDAQ,기타,SmallCap,23450.0225,23950.0,23.4,8.6,152,8,2009-09-23,2010-05-03,1.1,False,0.0,47,-0.43,0.64,-3.84,-2.77,-1.71,0.43,9.17,1.92,2.35,14.71
2010-05-14,005810,Poongsan Holdings Corp.,KOSDAQ,기타,SmallCap,23350.0223,23950.0,23.4,8.6,152,9,2009-09-23,2010-05-03,0.79,False,0.0,47,-1.71,-2.36,-1.5,1.5,-2.14,3.21,6.85,3.43,2.78,16.92
2009-10-08,009520,POSCO M-TECH Co. Ltd,KOSDAQ,기타,SmallCap,19000.0,19250.0,18.8,6.0,110,15,2009-04-14,2009-09-17,0.83,False,0.0,43,-1.84,-1.32,1.05,2.11,3.95,0.0,0.79,0.0,2.63,4.47
2009-10-12,009520,POSCO M-TECH Co. Ltd,KOSDAQ,기타,SmallCap,18700.0,19250.0,18.8,6.0,110,17,2009-04-14,2009-09-17,0.74,False,0.0,43,0.27,2.67,3.21,8.56,4.55,2.94,2.41,2.67,2.67,7.49
2009-10-13,009520,POSCO M-TECH Co. Ltd,KOSDAQ,기타,SmallCap,18750.0,19250.0,18.8,6.0,110,18,2009-04-14,2009-09-17,0.73,False,0.0,43,1.33,1.33,4.0,6.67,2.67,0.53,3.47,2.67,2.4,7.47
2009-10-14,009520,POSCO M-TECH Co. Ltd,KOSDAQ,기타,SmallCap,19000.0,19250.0,18.8,6.0,110,19,2009-04-14,2009-09-17,0.62,False,0.0,43,1.05,1.58,2.63,4.21,1.32,0.53,1.58,1.32,-0.53,11.58
2009-10-15,009520,POSCO M-TECH Co. Ltd,KOSDAQ,기타,SmallCap,19200.0,19250.0,18.8,6.0,110,20,2009-04-14,2009-09-17,0.91,False,0.0,43,-1.04,1.56,1.04,2.86,-1.04,-0.52,-0.52,-1.04,0.0,8.33
2016-05-31,122350,Samkee Automotive Co. Ltd,KOSDAQ,기타,SmallCap,4590.0,4610.0,16.4,8.7,154,16,2015-09-18,2016-05-10,0.97,False,4.8,43,-1.2,-6.1,-6.75,-9.69,-11.44,-13.51,-11.11,-10.89,-13.18,-16.01
2016-06-01,122350,Samkee Automotive Co. Ltd,KOSDAQ,기타,SmallCap,4535.0,4610.0,16.4,8.7,154,17,2015-09-18,2016-05-10,1.06,False,4.3,43,-4.41,-5.07,-5.62,-10.36,-11.14,-11.25,-10.69,-9.81,-13.34,-14.22
2019-04-01,214150,CLASSYS Inc,KOSDAQ,기타,SmallCap,6100.0,6120.0,30.7,8.8,141,15,2018-08-08,2019-03-12,0.67,False,45.7,79,10.66,17.87,23.77,50.82,52.46,47.05,90.16,101.64,111.48,110.66
2024-05-03,214150,CLASSYS Inc,KOSDAQ,기타,SmallCap,38350.0,39500.0,24.3,7.0,162,10,2023-08-21,2024-04-19,0.67,False,22.5,71,-1.69,26.47,23.34,31.16,29.07,23.99,44.2,32.46,33.25,21.9
2023-03-31,123040,MS Autotech Co.Ltd,KOSDAQ,기타,SmallCap,5530.0,5680.0,22.3,9.3,137,19,2022-08-16,2023-03-07,0.93,False,2.2,47,1.08,-0.36,-3.98,3.8,9.76,4.88,9.95,6.33,1.08,-1.99
2023-04-03,123040,MS Autotech Co.Ltd,KOSDAQ,기타,SmallCap,5590.0,5680.0,22.3,9.3,137,20,2022-08-16,2023-03-07,0.99,False,3.4,47,1.79,-1.61,-6.08,6.08,10.55,5.72,5.55,5.55,-0.89,-0.36
