ticker,name,theme,theme_no
405100,큐알티,온디바이스 AI,545
394280,오픈엣지테크놀로지,온디바이스 AI,545
009150,삼성전기,온디바이스 AI,545
102120,어보브반도체,온디바이스 AI,545
033640,네패스,온디바이스 AI,545
200470,에이팩트,온디바이스 AI,545
094360,칩스앤미디어,온디바이스 AI,545
000660,SK하이닉스,온디바이스 AI,545
377480,마음AI,온디바이스 AI,545
054450,텔레칩스,온디바이스 AI,545
077500,유니퀘스트,온디바이스 AI,545
486990,노타,온디바이스 AI,545
464500,아이언디바이스,온디바이스 AI,545
403870,HPSP,온디바이스 AI,545
399720,가온칩스,온디바이스 AI,545
080220,제주반도체,온디바이스 AI,545
353200,대덕전자,온디바이스 AI,545
005930,삼성전자,온디바이스 AI,545
222800,심텍,온디바이스 AI,545
200710,에이디테크놀로지,온디바이스 AI,545
323280,태성,온디바이스 AI,545
097870,효성오앤비,조림사업,400
137950,제이씨케미칼,조림사업,400
025750,한솔홈데코,조림사업,400
034730,SK,조림사업,400
043910,자연과환경,조림사업,400
002820,SUN&L,조림사업,400
008250,이건산업,조림사업,400
009580,무림P&P,조림사업,400
000180,성창기업지주,조림사업,400
039020,이건홀딩스,조림사업,400
025950,동신건설,조림사업,400
017390,서울가스,도시가스,176
117580,대성에너지,도시가스,176
034590,인천도시가스,도시가스,176
053050,지에스이,도시가스,176
016710,대성홀딩스,도시가스,176
004690,삼천리,도시가스,176
036460,한국가스공사,도시가스,176
267290,경동도시가스,도시가스,176
015360,INVENI,도시가스,176
043200,파루,아프리카 돼지열병(ASF),417
027710,팜스토리,아프리카 돼지열병(ASF),417
005860,한일사료,아프리카 돼지열병(ASF),417
218150,미래생명자원,아프리카 돼지열병(ASF),417
088910,동우팜투테이블,아프리카 돼지열병(ASF),417
900340,윙입푸드,아프리카 돼지열병(ASF),417
110020,전진바이오팜,아프리카 돼지열병(ASF),417
188260,세니젠,아프리카 돼지열병(ASF),417
060590,씨티씨바이오,아프리카 돼지열병(ASF),417
036480,대성미생물,아프리카 돼지열병(ASF),417
018620,우진비앤지,아프리카 돼지열병(ASF),417
208140,정다운,아프리카 돼지열병(ASF),417
033250,체시스,아프리카 돼지열병(ASF),417
086060,진바이오텍,아프리카 돼지열병(ASF),417
027740,마니커,아프리카 돼지열병(ASF),417
073560,우리손에프앤지,아프리카 돼지열병(ASF),417
054670,대한뉴팜,아프리카 돼지열병(ASF),417
136480,하림,아프리카 돼지열병(ASF),417
044960,이글벳,아프리카 돼지열병(ASF),417
006980,우성,아프리카 돼지열병(ASF),417
072020,중앙백신,아프리카 돼지열병(ASF),417
035810,이지홀딩스,아프리카 돼지열병(ASF),417
198440,강동씨앤엘,아프리카 돼지열병(ASF),417
153710,옵티팜,아프리카 돼지열병(ASF),417
014580,태경비케이,아프리카 돼지열병(ASF),417
025870,신라에스지,아프리카 돼지열병(ASF),417
136490,선진,아프리카 돼지열병(ASF),417
353810,이지바이오,아프리카 돼지열병(ASF),417
041960,코미팜,아프리카 돼지열병(ASF),417
036580,팜스코,아프리카 돼지열병(ASF),417
331920,셀레믹스,아프리카 돼지열병(ASF),417
059090,미코,고체산화물 연료전지(SOFC),559
089890,코세스,고체산화물 연료전지(SOFC),559
336260,두산퓨얼셀,고체산화물 연료전지(SOFC),559
452280,한선엔지니어링,고체산화물 연료전지(SOFC),559
282720,금양그린파워,고체산화물 연료전지(SOFC),559
382900,범한퓨얼셀,고체산화물 연료전지(SOFC),559
357580,아모센스,고체산화물 연료전지(SOFC),559
475150,SK이터닉스,고체산화물 연료전지(SOFC),559
056190,에스에프에이,고체산화물 연료전지(SOFC),559
083650,비에이치아이,고체산화물 연료전지(SOFC),559
417200,LS머트리얼즈,고체산화물 연료전지(SOFC),559
170920,엘티씨,고체산화물 연료전지(SOFC),559
126340,비나텍,고체산화물 연료전지(SOFC),559
076610,해성옵틱스,스마트폰,279
059120,아진엑스텍,스마트폰,279
115610,이미지스,스마트폰,279
094170,동운아나텍,스마트폰,279
178320,서진시스템,스마트폰,279
061040,알에프텍,스마트폰,279
032580,피델릭스,스마트폰,279
091120,이엠텍,스마트폰,279
179900,유티아이,스마트폰,279
