ticker,name,sector,market,cap,cur,rs_4w,rs_12w,vr,pct52,above200
227840,현대코퍼레이션홀딩스,Consumer Defensive,KOSDAQ,SmallCap,13900.0,-10.06,-20.71,1.58,-4.6,True
228670,레이,기타,KOSDAQ,nan,8810.0,49.44,22.76,0.46,-19.1,True
229000,젠큐릭스,기타,KOSDAQ,nan,2340.0,-29.06,-2.78,0.53,-60.1,True
229500,노브메타파마,기타,KOSPI,nan,8700.0,-40.45,-58.21,1.02,-49.1,False
229640,LS에코에너지,Industrials,KOSDAQ,LargeCap,87100.0,74.64,87.06,1.55,-4.2,True
232530,이엠티,기타,KOSPI,nan,12810.0,0.03,131.52,0.75,-0.3,True
232680,라온로보틱스,기타,KOSPI,nan,16640.0,-9.63,-62.47,1.7,-25.0,True
233250,메디안디노스틱,기타,KOSPI,nan,8890.0,-20.82,-49.74,0.03,-46.4,False
234080,JW생명과학,Healthcare,KOSPI,MidCap,12930.0,-21.94,-33.65,1.07,-16.6,False
234100,폴라리스세원,기타,KOSPI,nan,1020.0,-27.23,-47.1,1.6,-34.8,False
234300,에스트래픽,기타,KOSPI,nan,3845.0,-9.04,-28.81,1.36,-10.3,True
234690,녹십자웰빙,기타,KOSDAQ,nan,12830.0,-37.3,-0.64,0.65,-15.0,True
235980,메드팩토,기타,KOSDAQ,nan,5120.0,-30.9,-70.93,1.16,-36.4,False
236030,씨알푸드,기타,KOSPI,nan,3490.0,10.37,87.42,0.23,0.0,True
236340,메디젠휴먼케어,기타,KOSPI,nan,1800.0,-50.97,-44.79,1.04,-39.8,False
236810,엔비티,기타,KOSDAQ,nan,1965.0,-13.53,-42.03,0.62,-53.5,False
237820,플레이디,기타,KOSDAQ,nan,4690.0,-22.14,-27.46,1.87,-17.4,False
238120,얼라인드,기타,KOSDAQ,nan,4315.0,-15.98,-23.57,0.6,-28.7,True
238200,비피도,기타,KOSPI,nan,2840.0,-22.92,-41.64,0.56,-34.5,False
