ticker,name,market,exchange,sector,industry,market_cap,cap
003610,Pangrim Co. Ltd.,KOSDAQ,KQ,Consumer Cyclical,Textile Manufacturing,162747170816.0,SmallCap
003620,SsangYong Motor Co. Ltd.,KOSDAQ,KQ,Consumer Cyclical,Auto Manufacturers,673908457472.0,MidCap
003650,Mi Chang Oil,KOSPI,KO,Energy,Oil & Gas Refining & Marketing,168999747584.0,SmallCap
003670,Posco Chemical Co Ltd,KOSPI,KO,Industrials,Electrical Equipment & Parts,18100548272128.0,MegaCap
003690,Korean Reinsurance Co. Ltd.,KOSDAQ,KQ,Financial Services,Insurance - Reinsurance,2163065356288.0,LargeCap
003720,Sam Young Chem,KOSPI,KO,Consumer Cyclical,Packaging & Containers,229479890944.0,MidCap
003780,Chin Yang Ind,KOSPI,KO,Consumer Cyclical,Auto Parts,70589997056.0,SmallCap
003830,Daehan Synthet,KOSPI,KO,Consumer Cyclical,Textile Manufacturing,127930212352.0,SmallCap
003850,Boryung Pharm,KOSPI,KO,Healthcare,Drug Manufacturers - Specialty & Generic,760324423680.0,MidCap
003920,Namyang Dairy Products Co. Ltd.,KOSDAQ,KQ,Consumer Defensive,Packaged Foods,390015418368.0,MidCap
003925,Namyang Dairy Products Co. Ltd. Pfd. Series 1,KOSDAQ,KQ,Consumer Defensive,Packaged Foods,439393681408.0,MidCap
003960,Sajodaerim Corp.,KOSDAQ,KQ,Consumer Defensive,Packaged Foods,279389405184.0,MidCap
004000,Lotte Fine Chemical Co. Ltd.,KOSDAQ,KQ,Basic Materials,Chemicals,1244209479680.0,LargeCap
004020,Hyundai Steel Co.,KOSDAQ,KQ,Basic Materials,Steel,4426513776640.0,LargeCap
004060,SG Corp.,KOSDAQ,KQ,Consumer Cyclical,Apparel Manufacturing,101143830528.0,SmallCap
004080,Shinhung Co. Ltd.,KOSDAQ,KQ,Healthcare,Medical Devices,130472001536.0,SmallCap
004090,Korea Petroleum Industrial Co. Ltd.,KOSDAQ,KQ,Basic Materials,Building Materials,200506015744.0,MidCap
004100,Taeyang Metal Industrial Co. Ltd.,KOSDAQ,KQ,Consumer Cyclical,Auto Parts,109817937920.0,SmallCap
004105,Taeyang Metal Industrial Co. Ltd. Pfd. Series 1,KOSDAQ,KQ,Consumer Cyclical,Auto Parts,50706571264.0,SmallCap
004140,Dongbang Transport Logistics Co. Ltd.,KOSDAQ,KQ,Industrials,Integrated Freight & Logistics,136693153792.0,SmallCap
004150,Hansol Holdings Co. Ltd.,KOSDAQ,KQ,Basic Materials,Paper & Paper Products,129438982144.0,SmallCap
004170,Shinsegae Co. Ltd.,KOSDAQ,KQ,Consumer Cyclical,Department Stores,2634688233472.0,LargeCap
004250,NPC Co. Ltd.,KOSDAQ,KQ,Consumer Cyclical,Packaging & Containers,147152699392.0,SmallCap
004255,NPC Co. Ltd. Pfd. Series 1,KOSDAQ,KQ,Consumer Cyclical,Packaging & Containers,132270997504.0,SmallCap
004310,Hyundai Pharmaceutical Co. Ltd.,KOSDAQ,KQ,Healthcare,Drug Manufacturers - Specialty & Generic,226596503552.0,MidCap
004360,Sebang,KOSPI,KO,Industrials,Integrated Freight & Logistics,323695771648.0,MidCap
004365,Sebang Co. Ltd. Pfd. Series 1,KOSDAQ,KQ,Industrials,Integrated Freight & Logistics,284665610240.0,MidCap
004370,Nongshim Co. Ltd.,KOSDAQ,KQ,Consumer Defensive,Packaged Foods,2232329699328.0,LargeCap
004410,Seoul Food Industrial Co. Ltd.,KOSDAQ,KQ,Consumer Defensive,Packaged Foods,70984425472.0,SmallCap
004415,Seoul Food Industrial Co. Ltd. Pfd. Series 1,KOSDAQ,KQ,Consumer Defensive,Packaged Foods,463031402496.0,MidCap
004430,Songwon Industrial Co. Ltd.,KOSDAQ,KQ,Basic Materials,Specialty Chemicals,213360001024.0,MidCap
004440,Samil C&S Co Ltd,KOSPI,KO,Basic Materials,Building Materials,124900401152.0,SmallCap
004490,Sebang Global Battery Co. Ltd.,KOSDAQ,KQ,Industrials,Electrical Equipment & Parts,786022203392.0,MidCap
004540,Kleannara,KOSPI,KO,Basic Materials,Paper & Paper Products,75409473536.0,SmallCap
004545,Kleannara Co Ltd,KOSPI,KO,Basic Materials,Paper & Paper Products,58828861440.0,SmallCap
004560,Hyundai BNG Steel Co. Ltd.,KOSDAQ,KQ,Basic Materials,Steel,223577112576.0,MidCap
